accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;latitude;longitude
2023-08-13;20:30:00;неділя;місто;Львів;Галицький;вулиця;Коперника М.;null;вул. Коперника - вул. Бандери С.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.834564;24.02019
2023-08-20;13:10:00;неділя;місто;Львів;Шевченківський;вулиця;Під Голоском;8;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.868717;24.01456
2023-08-09;15:01:00;середа;місто;Львів;Личаківський;вулиця;Богданівська;null;вул. Богданівська - вул. Глинянський Тракт;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть, порушення правил маневрування;2;без ушкоджень;легко травмований;49.840381;24.085558
2023-10-12;13:45:00;четвер;місто;Львів;Личаківський;вулиця;Пекарська;55;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.837533;24.045473
2023-10-30;13:50:00;понеділок;місто;Львів;Сихівський;вулиця;Зелена;null;вул. Зелена - вул. Сихівська;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;49.798694;24.0707
2023-10-24;18:30:00;вівторок;місто;Дубляни;Шевченківський;вулиця;Львівська;2;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.889402;24.087514
2023-10-12;12:10:00;четвер;місто;Львів;Личаківський;вулиця;Зелена;49;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;49.832238;24.041696
2023-10-12;15:25:00;четвер;село;Лисиничі;Личаківський;вулиця;Хмельницького Б.;9б;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.834692;24.119577
2023-10-09;7:51:00;понеділок;місто;Львів;Сихівський;вулиця;Ярославенка Я.;26;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.819922;24.03226
2023-12-28;16:12:00;четвер;місто;Львів;Франківський;вулиця;Наукова;3;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;1;легко травмований;null;49.802372;24.012691
